periventricular nucleus of caudal tuberculum,1
medial valvula cerebelli,1
griseum centrale,1
cerebellum,1
preoptic area,1
optic furrow,1
facial lobe,1
dorsal thalamus,1
torus semicircularis,1
valvula cerebelli,1
anterior region,1
neuroblast,1
olfactory pit,1
optic cup,1
habenula,1
cranial nerve II,1
heart tube,1
visible light photoreceptor cell,1
skeletal system,1
pectoral fin bud,1
midbrain hindbrain boundary,1
corneal primordium,1
corneal epithelial cell,1
corneal epithelium,1
cornea,1
asteriscus,1
adaxial cell,1
slow muscle cell,1
exocrine cell,1
hypaxial myotome region,1
exocrine pancreas,1
presumptive segmental plate,1
muscle pioneer,1
anterior pancreatic bud,1
pancreatic bud,1
lateral wall spinal cord,1
corpus cerebelli,1
anterior axial hypoblast,1
skeletal muscle cell,1
blue sensitive photoreceptor cell,1
heart primordium,1
neural crest,1
central region,1
mucus secreting cell,1
pronephric mesoderm,1
chordo neural hinge,1
optic primordium,1
UV sensitive photoreceptor cell,1
primary neuron,1
dorso-rostral cluster,1
rhombomere 3,1
dorsal side,1
ventro-rostral cluster,1
nucleus of the medial longitudinal fasciculus medulla oblongata,1
reticulospinal neuron,1
trigeminal placode,1
posterior neural tube,1
posterior lateral line ganglion,1
prechordal plate,1
Rohon-Beard neuron,1
spinal cord interneuron,1
statoacoustic (VIII) ganglion,1
spinal cord neural tube,1
motor neuron,1
amacrine cell,1
otic lateral line neuromast,1
head mesenchyme,1
parachordal cartilage,1
opercle,1
dentary,1
scale,1
branchiostegal ray,1
portion of connective tissue,1
branchiostegal ray 3,1
Meckel's cartilage,1
entopterygoid,1
dermatocranium,1
ventral mandibular arch,1
maxilla,1
ceratobranchial 5 tooth,1
median fin fold,1
inner dental epithelium,1
caudal fin,1
frontal-parietal joint,1
cranial cartilage,1
connective tissue cell,1
sternohyoid,1
pterosphenoid,1
inter-frontal joint,1
pharyngeal arch 2,1
mesenchymal cell,1
primitive meninx,1
hyohyoideus,1
pectoral fin fold,1
odontoblast,1
keratinocyte,1
inner ear,1
retinal ganglion cell,1
anterior lateral line neuromast,1
pancreas,1
intestinal bulb primordium,1
midbrain neural keel,1
hindbrain neural plate,1
segmental plate,1
immature gonad,1
gall bladder,1
gonad primordium,1
caudal fin skeleton,1
postcranial axial skeleton,1
spleen,1
oocyte stage II,1
oocyte stage I,1
primordial germ cell,1
bone element,1
lip,1
renal system,1
barbel,1
apical ectodermal ridge dorsal fin,1
hypochord,1
extension,1
common cardinal vein,1
urogenital papilla,1
apical ectodermal ridge pelvic fin bud,1
anal fin,1
medial zone of dorsal telencephalon,1
lateral zone of dorsal telencephalon,1
ventral hypothalamic zone,1
central zone of dorsal telencephalon,1
supracommissural nucleus of ventral telencephalon,1
caudal zone of dorsal telencephalon,1
periventricular nucleus,1
anatomical region,1
dorsal periventricular hypothalamus,1
interpeduncular nucleus tegmentum,1
caudal tuberal nucleus,1
diffuse nucleus inferior lobe,1
epidermal superficial stratum,1
pharynx,1
ectoderm,1
endocrine system,1
epithelium,1
embryonic structure,1
hepatocyte,1
swim bladder,1
otolith,1
hematopoietic cell,1
ventral mesoderm,1
presumptive blood,1
mesoderm,1
erythroblast,1
caudal hematopoietic tissue,1
hematopoietic multipotent progenitor cell,1
ball,1
posterior lateral mesoderm,1
hematopoietic stem cell,1
trunk vasculature,1
post-vent vasculature,1
dorsal aorta,1
myeloid cell,1
